Feature,Importance,Region,Model
GDP_Level,0.0008333670996684724,Germany,Random Forest
Value_Area,0.639310724293628,Germany,Gradient Boosting
Year,0.1577014812692638,Germany,Gradient Boosting
NPP,0.08903376950939935,Germany,Gradient Boosting
Price,0.06140780976286087,Germany,Gradient Boosting
Quantity,0.03882890797043924,Germany,Gradient Boosting
POP_Level,0.00976778030736593,Germany,Gradient Boosting
GDPP,0.0023422601189097393,Germany,Gradient Boosting
GDP_Level,0.0009257631270070418,Germany,Gradient Boosting
Growth_rate,0.0006815036411258821,Germany,Gradient Boosting
Value_Area,1.2524718810987623,Germany,Permutation
Price,0.20257039639775137,Germany,Permutation
Year,0.20084370444377936,Germany,Permutation
Quantity,0.11274370226101689,Germany,Permutation
NPP,0.10796500753774074,Germany,Permutation
POP_Level,0.0016422218190800142,Germany,Permutation
GDPP,0.001210208344117436,Germany,Permutation
Growth_rate,0.0009583637473952744,Germany,Permutation
GDP_Level,0.0005198002555321212,Germany,Permutation
Value_Area,0.7179643520624432,India,Random Forest
NPP,0.16716369812597182,India,Random Forest
Year,0.07579535765552904,India,Random Forest
Quantity,0.02622571845532949,India,Random Forest
Price,0.009308528133571217,India,Random Forest
GDP_Level,0.0010138911695599154,India,Random Forest
POP_Level,0.0009360447990517407,India,Random Forest
GDPP,0.0008657384440122162,India,Random Forest
Growth_rate,0.0007266711545313896,India,Random Forest
Value_Area,0.6035972132257709,India,Gradient Boosting
Year,0.21130227460150108,India,Gradient Boosting
NPP,0.1455277611131687,India,Gradient Boosting
Quantity,0.02763523488197207,India,Gradient Boosting
Price,0.007899288984215732,India,Gradient Boosting
GDPP,0.0020010730099638296,India,Gradient Boosting
Growth_rate,0.001084832147567258,India,Gradient Boosting
GDP_Level,0.0005852952781003117,India,Gradient Boosting
POP_Level,0.000367026757740248,India,Gradient Boosting
Value_Area,1.0741432699992648,India,Permutation
NPP,0.16424265432324414,India,Permutation
Year,0.10534388766132421,India,Permutation
Quantity,0.08871722393340442,India,Permutation
Price,0.02651026276382895,India,Permutation
GDPP,0.0005066725827988172,India,Permutation
Growth_rate,0.0004185211389463817,India,Permutation
POP_Level,0.0004068697670943311,India,Permutation
GDP_Level,0.00033202445036190076,India,Permutation
GDPP,0.5404466388570224,Indonesia,Random Forest
NPP,0.2329151619682155,Indonesia,Random Forest
Year,0.12622166166135612,Indonesia,Random Forest
Value_Area,0.035911590928361256,Indonesia,Random Forest
GDP_Level,0.02879045989041285,Indonesia,Random Forest
Quantity,0.012946312323670335,Indonesia,Random Forest
Price,0.011076682548086459,Indonesia,Random Forest
POP_Level,0.006964066025557336,Indonesia,Random Forest
Growth_rate,0.004727425797317803,Indonesia,Random Forest
GDPP,0.35403126284542763,Indonesia,Gradient Boosting
Year,0.3441705456164064,Indonesia,Gradient Boosting
NPP,0.2148996614575814,Indonesia,Gradient Boosting
Value_Area,0.04920024045359771,Indonesia,Gradient Boosting
GDP_Level,0.019827417094425866,Indonesia,Gradient Boosting
Quantity,0.007553388932091552,Indonesia,Gradient Boosting
POP_Level,0.007502161459924933,Indonesia,Gradient Boosting
Price,0.0021910760636760394,Indonesia,Gradient Boosting
Growth_rate,0.0006242460768684348,Indonesia,Gradient Boosting
GDPP,0.4712119961380937,Indonesia,Permutation
NPP,0.3134591834144381,Indonesia,Permutation
Year,0.1473982070899212,Indonesia,Permutation
GDP_Level,0.048591503500985955,Indonesia,Permutation
Value_Area,0.0456860012882526,Indonesia,Permutation
Price,0.022430166730867264,Indonesia,Permutation
Quantity,0.014190325988268627,Indonesia,Permutation
POP_Level,0.006926306999612397,Indonesia,Permutation
Growth_rate,0.004246579188995914,Indonesia,Permutation
Year,0.8368575441443334,Japan,Random Forest
NPP,0.12760212649283983,Japan,Random Forest
Value_Area,0.021547366046825386,Japan,Random Forest
Price,0.008597561970627547,Japan,Random Forest
Quantity,0.00397048852159883,Japan,Random Forest
GDPP,0.0005096159896663172,Japan,Random Forest
GDP_Level,0.0005090617944069405,Japan,Random Forest
POP_Level,0.00021851173981683253,Japan,Random Forest
Growth_rate,0.00018772329988487083,Japan,Random Forest
Year,0.8622939519421017,Japan,Gradient Boosting
NPP,0.0998180155123737,Japan,Gradient Boosting
Value_Area,0.024351716786402695,Japan,Gradient Boosting
Quantity,0.006313194764854046,Japan,Gradient Boosting
